id;NAME;affected_countries
1;Caribbean Sea;CUB,MEX,JAM,GTM,NIC,HND,CRI,PAN,COL,TTO,VEN,GRD,BRB,MTQ,ATG,PRI,HTI,DOM,DMA,CYM,BLZ,ABW,CUW,VCT,LCA,MSR,KNA,VGB,VIR,BLM,KNA
2;Gulf of Mexico;USA,MEX,CUB
3;Gulf of Suez;EGY
4;Gulf of Aqaba;EGY,SAU
5;Red Sea;EGY,SAU,YEM,ERI,DJI
6;Gulf of Aden;DJI,YEM,SOM
7;Gulf of Oman;OMN,IRN
8;Persian Gulf;IRN,ARE,QAT,KWT,IRQ
9;Laccadive Sea;IND,LKA,MDV
10;Arabian Sea;IND,PAK,OMN,MDV,SOM,YEM
11;Mozambique Channel;MDG,MOZ
12;Bay of Bengal;IND,LKA,BGD,IDN
13;Andaman or Burma Sea;MYS, MMR,THA,IND,IND
14;Great Australian Bight;AUS
15;Bass Strait;AUS
16;Indian Ocean;HRD,AUS,IDNCXR,CCK,LKA,IOT,MDV,SOM,KEN,TZA,MDG,SYC,ATF
17;Mediterranean Sea - Western Basin;FRA,ITA,ESP,DZA,TUN
18;Mediterranean Sea - Eastern Basin;ITA,TUN,EGY,TUR,LBY,GRC,LBN,ISR,SYR,CYP
19;Sea of Marmara;TUR
20;Black Sea;RUS,ROU,TUR,UKR,MDA,GEO,BGR
21;Sea of Azov;RUS,UKR
22;Strait of Gibraltar;ESP,GBR,MAR
23;Alboran Sea;ESP,MOR,DZA
24;Balearic Sea;ESP
25;Ligurian Sea;ITA,FRA
26;Tyrrhenian Sea;ITA,FRA
27;Adriatic Sea;ALB,BIH,XXK,MNEHRV,ITA
28;Ionian Sea;ITA,GRC,ALB
29;Aegean Sea;GRC,TUR
30;Inner Seas off the West Coast of Scotland;GBR,IRL
31;Irish Sea and St. George's Channel;GBR,IRL
32;Bristol Channel;GBR
33;English Channel;GBR,FRA
34;Bay of Biscay;FRA
35;Celtic Sea;GBR,IRL,FRA
36;Kattegat;NOR,DNK,SWE,DEU
37;Skaggerak;NOR,SWE
38;North Sea;NOR,DNK,GBR,DEU,NLD,BEL,FRA
39;Baffin Bay;CAN,GRL
40;Davis Strait;CAN,GRL
41;Labrador Sea;CAN,GRL
42;Gulf of St-Lawrence;CAN
43;Bay of Fundy;CAN,USA
44;North Atlantic Ocean;PRT,ESP,FRA,IRL,GBR,FRO,ISL,GRL,CAN,USA,BHS,CUB,HTI,DOM,DMA,TCA,PRI,VGB,VIR,BLM,KNA,MSR,MTQ,LCA,VCT,BRB,VEN,GUY,SUR,GUF,BRA,GAB,GNQ,CMR,NGA,BEN,TGO,GHA,CIV,LBR,SLE.GIN,GNB,SEN,MRT,MAR,CPV
45;Gulf of Guinea;GAB,GNQ,CMR,NGA,BEN,TGO,GHA,CIV
46;Gulf of Bothnia;SWE,FIN
47;Gulf of Finland;FIN,EST,RUS
48;Gulf of Riga;EST,LVA
49;Baltic Sea;SWE,DNK,DEU,POL,RUS,LTU,LVA,EST,FIN
50;Rio de La Plata;ARG,URY
51;South Atlantic Ocean;BRA,URY,ARG,FLK,SGS,ZAF,NAM,AGO,COD,SHN,STP
52;Greenland Sea;GRL,NOR,ISL,SJM
53;Norwegian Sea;GRL,NOR,ISL,SJM
54;White Sea;RUS
55;Barentsz Sea;RUS,NOR,SWE,SJM,FIN
56;Kara Sea;RUS
57;Laptev Sea;RUS
58;East Siberian Sea;RUS
59;Chukchi Sea;RUS,USA
60;Lincoln Sea;CAN,GRL
61;Beaufort Sea;USA,CAN
62;Northwestern Passages;CAN
63;Hudson Bay;CAN
64;Hudson Strait;CAN
65;Malacca Strait;THA,IDN,MYS
66;Singapore Strait;SGP,MYS
67;Gulf of Thailand;THA, KHM
68;South China Sea;CHN,VNM,MYS,IDN,THA,PHL,TWN
69;Eastern China Sea;CHN,TWN,JPA
70;Yellow Sea;CHN,KOR,PRK
71;Inland Sea;JPN
72;Philippine Sea;JPN,PHL,TWN,MNP
73;Japan Sea;JPN,KOR,PRK,RUS
74;Sea of Okhotsk;RUS,JPN
75;Bering Sea;RUS,USA
76;Gulf of Alaska;USA,RUS
77;The Coastal Waters of Southeast Alaska and British Columbia;CAN,USA
78;Gulf of California;USA,MEX
79;North Pacific Ocean;PAN,CRI,NIC,HND,GTM,MEX,USA,CAN,RUS,JPN,FSM,MHL,NRU,PHL,PLW,KIR
80;Sulu Sea;MYS,PHL
81;Celebes Sea;IND,PHL
82;Molukka Sea;IDN
83;Gulf of Tomini;IDN
84;Halamahera Sea;IDN
85;Tasman Sea;AUS,NZL
86;Coral Sea;AUS,NCL,VUT,SLB
87;Bismarck Sea;PNG
88;Solomon Sea;PNG,SOL
89;South Pacific Ocean;AUS,NZL,NFK,FJI,TUV,NRU,VUT,SLB,PNG,IDN,ARG,CHL,PER,PYF,COK,ASM,NIU,WLF,TKL,KIR
90;Ceram Sea;IDN
91;Banda Sea;IDN
92;Arafura Sea;IDN,AUS
93;Timor Sea;IDN,AUS
94;Flores Sea;IDN
95;Gulf of Boni;IDN
96;Bali Sea;IDN
97;Makassar Strait;IDN
98;Java Sea;MYS,IDN
99;Savu Sea;IND
100;Southern Ocean;ATA
